epoch,accuracy,loss,val_accuracy,val_loss
1,0.049121,4.377653,0.088011,3.994305
2,0.115539,3.857630,0.178125,3.528031
3,0.176449,3.528657,0.234584,3.247513
4,0.219026,3.307381,0.224178,3.300998
5,0.249509,3.151231,0.304993,2.925144
6,0.275758,3.022581,0.319606,2.854538
7,0.298824,2.917014,0.348500,2.712848
8,0.318957,2.822519,0.357799,2.673944
9,0.336045,2.744117,0.365991,2.628718
10,0.349149,2.670911,0.378280,2.583483
11,0.362557,2.608181,0.383926,2.561693
12,0.376685,2.552407,0.404185,2.494008
13,0.388640,2.491550,0.407284,2.470431
14,0.398519,2.442530,0.411491,2.456530
15,0.410987,2.393085,0.412266,2.432177
16,0.418168,2.354394,0.423447,2.388679
17,0.426498,2.316517,0.407506,2.446419
18,0.434648,2.272169,0.428318,2.373054
19,0.445759,2.231123,0.423890,2.367368
20,0.451086,2.198936,0.433522,2.350349
21,0.460675,2.158249,0.440164,2.321882
22,0.465518,2.121509,0.441935,2.305942
23,0.474028,2.095503,0.441492,2.309060
24,0.479189,2.060539,0.445035,2.287968
25,0.486813,2.030055,0.445367,2.270751
26,0.493621,1.999436,0.448688,2.263907
27,0.497966,1.979023,0.456327,2.251038
28,0.505286,1.944052,0.451345,2.271492
29,0.510641,1.917022,0.444924,2.308982
30,0.515511,1.895695,0.454334,2.267354
