epoch,loss,accuracy,val_loss,val_accuracy
1,4.679807,0.030000,7.313725,0.010000
2,3.988524,0.074375,7.179606,0.011000
3,3.612637,0.113125,6.753561,0.014000
4,3.352129,0.148250,6.997668,0.015000
5,3.122294,0.184625,6.629989,0.030000
6,2.892383,0.231250,5.320168,0.055000
7,2.720364,0.264500,4.176146,0.088000
8,2.546607,0.310875,3.612830,0.129000
9,2.386623,0.346375,3.121527,0.185000
10,2.254674,0.375250,1.875589,0.475000
11,2.124121,0.408125,1.972850,0.444000
12,2.002242,0.442250,1.883498,0.464000
13,1.909260,0.460875,1.575018,0.558000
14,1.799086,0.492875,1.506226,0.599000
15,1.703484,0.515375,1.549515,0.571000
16,1.648672,0.526250,1.460782,0.581000
17,1.527667,0.564625,1.644183,0.541000
18,1.462793,0.583750,1.665447,0.543000
19,1.381339,0.608000,1.258330,0.646000
20,1.306875,0.622125,1.213842,0.662000
21,1.240505,0.639500,1.386577,0.612000
22,1.179148,0.659125,1.083083,0.685000
23,1.118686,0.675125,1.265708,0.634000
24,1.065740,0.684500,1.020423,0.716000
25,0.986077,0.713125,1.108497,0.689000
26,0.941450,0.726375,0.958635,0.729000
27,0.882782,0.739625,1.330283,0.615000
28,0.848951,0.748875,0.904239,0.744000
29,0.793430,0.767500,0.860628,0.769000
30,0.752978,0.773125,0.850790,0.756000
