epoch,loss,accuracy,val_loss,val_accuracy
1,4.301260,0.061125,3.846319,0.080000
2,3.659177,0.107625,4.047622,0.054000
3,3.443784,0.133750,4.026463,0.052000
4,3.344685,0.140500,3.768742,0.129000
5,3.255135,0.155500,3.455794,0.175000
6,3.183197,0.164375,3.100547,0.213000
7,3.126243,0.173000,2.981001,0.217000
8,3.092382,0.176000,2.892544,0.226000
9,3.022453,0.193125,2.894984,0.241000
10,3.018552,0.182500,2.798468,0.271000
11,2.974424,0.199500,2.784156,0.256000
12,2.939764,0.207000,2.741139,0.272000
13,2.899967,0.208625,2.684174,0.276000
14,2.863665,0.222625,2.651834,0.290000
15,2.839355,0.226500,2.626799,0.285000
16,2.803031,0.232375,2.605135,0.290000
17,2.773778,0.238750,2.604307,0.287000
18,2.767838,0.239000,2.577619,0.296000
19,2.739577,0.236000,2.592068,0.291000
20,2.710545,0.254625,2.577111,0.292000
21,2.713332,0.248000,2.565918,0.286000
22,2.693014,0.250500,2.560162,0.297000
23,2.668931,0.255500,2.549501,0.290000
24,2.656058,0.255125,2.545918,0.315000
25,2.652183,0.255625,2.529370,0.304000
26,2.623448,0.267625,2.558851,0.297000
27,2.632383,0.260000,2.527745,0.303000
28,2.601775,0.276625,2.520686,0.307000
29,2.603453,0.271500,2.531759,0.301000
30,2.586850,0.273375,2.523561,0.307000
