epoch,loss,accuracy,val_loss,val_accuracy
1,3.668305,0.163500,5.337475,0.010000
2,2.128507,0.470000,5.774499,0.010000
3,1.456100,0.644625,6.415275,0.020000
4,1.078418,0.742625,7.117264,0.010000
5,0.856882,0.785125,6.983571,0.030000
6,0.691148,0.826125,5.332938,0.073000
7,0.578378,0.861750,3.091784,0.252000
8,0.498381,0.877875,1.391057,0.584000
9,0.417011,0.901750,0.568237,0.823000
10,0.368009,0.907500,0.295419,0.914000
11,0.339533,0.916000,0.211456,0.939000
12,0.286705,0.930500,0.193855,0.938000
13,0.264318,0.930625,0.131866,0.954000
14,0.251713,0.934125,0.195634,0.941000
15,0.219095,0.941625,0.118543,0.957000
16,0.203196,0.944875,0.104989,0.960000
17,0.188985,0.949375,0.106559,0.964000
18,0.173247,0.951375,0.111880,0.963000
19,0.165879,0.955375,0.111785,0.960000
20,0.154036,0.955500,0.114731,0.962000
21,0.146696,0.959875,0.099756,0.963000
22,0.140086,0.957250,0.097266,0.969000
23,0.129982,0.959500,0.103664,0.960000
24,0.125702,0.962000,0.081174,0.974000
25,0.123957,0.962375,0.082524,0.970000
26,0.116150,0.964375,0.097948,0.969000
27,0.110924,0.965750,0.086036,0.970000
28,0.114143,0.965250,0.112548,0.962000
29,0.104846,0.967875,0.113260,0.960000
30,0.097837,0.969375,0.103131,0.966000
