epoch,loss,accuracy,val_loss,val_accuracy
1,4.397937,0.059625,5.672947,0.013000
2,3.564422,0.137125,6.813983,0.010000
3,3.125573,0.205125,6.777113,0.011000
4,2.836581,0.256000,6.653108,0.012000
5,2.599730,0.299625,5.711530,0.020000
6,2.416568,0.345250,3.694332,0.136000
7,2.221612,0.391250,2.863317,0.276000
8,2.082656,0.422375,2.162764,0.435000
9,1.954962,0.456125,1.686552,0.565000
10,1.830133,0.489500,1.523136,0.600000
11,1.730539,0.511750,1.341828,0.645000
12,1.596075,0.549375,1.257202,0.650000
13,1.525258,0.563750,1.203981,0.677000
14,1.430605,0.586375,1.201684,0.670000
15,1.384974,0.594500,1.058719,0.693000
16,1.292750,0.633250,1.007607,0.732000
17,1.222010,0.643125,0.978535,0.719000
18,1.169074,0.653125,0.938640,0.737000
19,1.102213,0.680875,0.843564,0.760000
20,1.048441,0.693375,0.860878,0.753000
21,0.988778,0.708000,0.941592,0.740000
22,0.920239,0.728250,0.875690,0.750000
23,0.892951,0.737500,0.764381,0.787000
24,0.843425,0.750500,0.721291,0.787000
25,0.802799,0.761250,0.807354,0.766000
26,0.768087,0.769125,0.845199,0.761000
27,0.746366,0.772750,0.654886,0.809000
28,0.700106,0.790625,0.716695,0.806000
29,0.659673,0.800750,0.715255,0.798000
30,0.632040,0.809625,0.632363,0.812000
