epoch,loss,accuracy,val_loss,val_accuracy
1,4.327406,0.053500,4.890490,0.030000
2,3.663785,0.095875,4.862346,0.039000
3,3.451060,0.117875,4.994020,0.043000
4,3.331285,0.126125,5.292905,0.050000
5,3.261713,0.135625,5.129235,0.050000
6,3.194533,0.149125,5.106472,0.055000
7,3.141886,0.152000,4.440147,0.074000
8,3.088350,0.157375,4.121411,0.107000
9,3.037678,0.172000,3.723693,0.129000
10,3.018017,0.173250,3.216644,0.169000
11,2.969053,0.184500,3.439640,0.147000
12,2.934359,0.191875,3.049050,0.209000
13,2.911924,0.197750,3.731673,0.142000
14,2.870791,0.198750,4.079522,0.117000
15,2.851079,0.207500,3.394907,0.148000
16,2.822550,0.210750,3.358284,0.156000
17,2.812028,0.216125,3.146986,0.204000
18,2.787749,0.222125,3.644216,0.147000
19,2.754897,0.218625,3.673397,0.149000
20,2.729326,0.230750,3.576541,0.141000
21,2.712888,0.228250,3.688623,0.131000
22,2.700730,0.234125,4.020624,0.131000
23,2.676857,0.237000,3.212160,0.175000
24,2.694330,0.230000,2.990752,0.204000
25,2.668272,0.241000,2.696563,0.259000
26,2.664441,0.241375,2.791734,0.250000
27,2.655035,0.240000,2.630011,0.272000
28,2.636750,0.244375,2.881397,0.232000
29,2.633986,0.248375,2.759928,0.241000
30,2.630760,0.247125,2.566328,0.269000
